Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2020,Maluku Utara,Kab. Pulau Morotai,,,,,,,
2020,Maluku Utara,Kota Tidore Kepulauan,36.32,6.36,18.16,13.62,9.06,5.47,1.82
2020,Papua,Kab. Biak Numfor,27.47,3.64,9.75,3.08,3.57,6.62,
2020,Papua,Kab. Keerom,15.00,15.00,25.00,15.00,10.00,10.00,10.00
2020,Papua,Kota Jayapura,165.15,46.10,23.21,9.61,6.70,2.50,
2020,Papua Barat,Kab. Manokwari,128.35,,19.80,4.40,4.12,,
2020,Papua Selatan,Kab. Asmat,28.00,3.00,4.40,2.73,1.27,3.62,1.02
2020,Papua Barat Daya,Kab. Sorong Selatan,,,,,,,
2020,Papua Barat Daya,Kab. Raja Ampat,0.00,0.00,0.00,0.00,0.00,,
2019,Aceh,Kab. Aceh Selatan,19.00,1.00,2.10,1.40,8.00,2.20,1.30
2019,Aceh,Kab. Aceh Tengah,14520.00,5000.00,16030.00,11322.00,10230.00,11320.00,29165.00
2019,Aceh,Kab. Simeulue,26.37,4.40,5.71,3.52,2.20,0.44,1.32
2019,Aceh,Kab. Gayo Lues,38.00,3.00,16.00,7.00,5.00,16.00,15.00
2019,Aceh,Kab. Bener Meriah,,,,,,,
2019,Aceh,Kota Banda Aceh,182.57,0.55,8.85,44.31,2.27,0.00,0.05
2019,Aceh,Kota Sabang,1.06,0.02,0.03,0.03,0.36,0.03,0.32
2019,Aceh,Kota Langsa,11.40,1.00,16.00,12.00,6.00,2.00,
2019,Sumatera Utara,Kab. Langkat,8.00,5.40,5.40,6.00,3.90,1.90,2.80
2019,Sumatera Utara,Kab. Deli Serdang,,,,,,,
2019,Sumatera Utara,Kab. Asahan,364.90,2.68,3.53,77.36,13.14,6.96,151.91
2019,Sumatera Utara,Kab. Dairi,2.26,0.12,2.64,0.00,0.55,0.36,0.00
2019,Sumatera Utara,Kab. Humbang Hasundutan,10.00,0.50,1.00,,1.45,,2.50
2019,Sumatera Utara,Kab. Samosir,10.00,1.00,2.00,3.00,1.00,5.00,2.00
2019,Sumatera Utara,Kota Medan,,,,,,,
2019,Sumatera Utara,Kota Pematang Siantar,,,,,,,
2019,Sumatera Utara,Kota Tebing Tinggi,,,,,,,
